# TIA-102.BABA-A imbe_bit_prioritization.csv — Full-Rate Bit Prioritization Map (L-dependent scan)
# Source: BABA-A PDF, pages 33–35 (Section 7.1), combined with Annex F (B_m for b̂₃..b̂₇)
#         and Annex G (B_m for b̂₈..b̂_{L+1}). Figure 22 scan algorithm expanded to explicit
#         (src_param, src_bit) → (dst_vec, dst_bit) mapping for every L in [9, 56].
# Invariants verified for every L:
#   - Bit budget 8 + K + 6 + (73-K) + 1 = 88 (PASS)
#   - src coverage: every allocated (b̂_l, bit) appears exactly once (PASS)
#   - dst coverage: û_0..û_7 bits 0..(width-1) each appear exactly once (PASS)
# Parameter widths: b̂₀=8 (pitch), b̂₁=K (V/UV, see Eq. 48), b̂₂=6 (gain),
#                    b̂_l for l=3..7 from Annex F, b̂_l for l=8..L+1 from Annex G,
#                    b̂_{L+2} has 1 transmitted bit (LSB only, always in û₇[0]).
# Total rows = 48 L values × 88 info bits = 4224.
L,src_param,src_bit,dst_vec,dst_bit
21,12,1,3,1
21,13,1,3,0
21,1,6,4,10
21,1,5,4,9
21,1,4,4,8
21,1,3,4,7
21,1,2,4,6
21,1,1,4,5
21,1,0,4,4
21,2,2,4,3
21,2,1,4,2
21,14,1,4,1
21,15,1,4,0
21,16,1,5,10
21,17,1,5,9
21,18,1,5,8
21,20,1,5,7
21,21,1,5,6
21,3,0,5,5
21,4,0,5,4
21,5,0,5,3
21,6,0,5,2
21,7,0,5,1
21,8,0,5,0
21,9,0,6,10
21,10,0,6,9
21,11,0,6,8
21,12,0,6,7
21,13,0,6,6
21,14,0,6,5
21,15,0,6,4
21,16,0,6,3
21,17,0,6,2
21,18,0,6,1
21,19,0,6,0
21,20,0,7,6
21,21,0,7,5
21,22,0,7,4
21,2,0,7,3
21,0,1,7,2
21,0,0,7,1
21,23,0,7,0
22,0,7,0,11
22,0,6,0,10
22,0,5,0,9
22,0,4,0,8
22,0,3,0,7
22,0,2,0,6
22,2,5,0,5
22,2,4,0,4
22,2,3,0,3
22,3,4,0,2
22,4,4,0,1
22,3,3,0,0
22,4,3,1,11
22,5,3,1,10
22,6,3,1,9
22,7,3,1,8
22,8,3,1,7
22,9,3,1,6
22,10,3,1,5
22,11,3,1,4
22,12,3,1,3
22,3,2,1,2
22,4,2,1,1
22,5,2,1,0
22,6,2,2,11
22,7,2,2,10
22,8,2,2,9
22,9,2,2,8
22,10,2,2,7
22,11,2,2,6
22,12,2,2,5
22,13,2,2,4
22,15,2,2,3
22,18,2,2,2
22,3,1,2,1
22,4,1,2,0
22,5,1,3,11
22,6,1,3,10
22,7,1,3,9
22,8,1,3,8
22,9,1,3,7
22,10,1,3,6
22,11,1,3,5
22,12,1,3,4
22,13,1,3,3
22,14,1,3,2
22,15,1,3,1
22,16,1,3,0
22,1,7,4,10
22,1,6,4,9
22,1,5,4,8
22,1,4,4,7
22,1,3,4,6
22,1,2,4,5
22,1,1,4,4
22,1,0,4,3
22,2,2,4,2
22,2,1,4,1
22,17,1,4,0
22,18,1,5,10
22,19,1,5,9
22,21,1,5,8
22,22,1,5,7
22,3,0,5,6
22,4,0,5,5
22,5,0,5,4
22,6,0,5,3
22,7,0,5,2
22,8,0,5,1
22,9,0,5,0
22,10,0,6,10
22,11,0,6,9
22,12,0,6,8
22,13,0,6,7
22,14,0,6,6
22,15,0,6,5
22,16,0,6,4
22,17,0,6,3
22,18,0,6,2
22,19,0,6,1
22,20,0,6,0
22,21,0,7,6
22,22,0,7,5
22,23,0,7,4
22,2,0,7,3
22,0,1,7,2
22,0,0,7,1
22,24,0,7,0
23,0,7,0,11
23,0,6,0,10
23,0,5,0,9
23,0,4,0,8
23,0,3,0,7
23,0,2,0,6
23,2,5,0,5
23,2,4,0,4
23,2,3,0,3
23,3,4,0,2
23,3,3,0,1
23,4,3,0,0
23,5,3,1,11
23,6,3,1,10
23,7,3,1,9
23,8,3,1,8
23,10,3,1,7
23,11,3,1,6
23,13,3,1,5
23,3,2,1,4
23,4,2,1,3
23,5,2,1,2
23,6,2,1,1
23,7,2,1,0
23,8,2,2,11
23,9,2,2,10
23,10,2,2,9
23,11,2,2,8
23,12,2,2,7
23,13,2,2,6
23,14,2,2,5
23,16,2,2,4
23,3,1,2,3
23,4,1,2,2
23,5,1,2,1
23,6,1,2,0
23,7,1,3,11
23,8,1,3,10
23,9,1,3,9
23,10,1,3,8
23,11,1,3,7
23,12,1,3,6
23,13,1,3,5
23,14,1,3,4
23,15,1,3,3
23,16,1,3,2
23,17,1,3,1
23,18,1,3,0
23,1,7,4,10
23,1,6,4,9
23,1,5,4,8
23,1,4,4,7
23,1,3,4,6
23,1,2,4,5
23,1,1,4,4
23,1,0,4,3
23,2,2,4,2
23,2,1,4,1
23,19,1,4,0
23,20,1,5,10
23,22,1,5,9
23,23,1,5,8
23,3,0,5,7
23,4,0,5,6
23,5,0,5,5
23,6,0,5,4
23,7,0,5,3
23,8,0,5,2
23,9,0,5,1
23,10,0,5,0
23,11,0,6,10
23,12,0,6,9
23,13,0,6,8
23,14,0,6,7
23,15,0,6,6
23,16,0,6,5
23,17,0,6,4
23,18,0,6,3
23,19,0,6,2
23,20,0,6,1
23,21,0,6,0
23,22,0,7,6
23,23,0,7,5
23,24,0,7,4
23,2,0,7,3
23,0,1,7,2
23,0,0,7,1
23,25,0,7,0
24,0,7,0,11
24,0,6,0,10
24,0,5,0,9
24,0,4,0,8
24,0,3,0,7
24,0,2,0,6
24,2,5,0,5
24,2,4,0,4
24,2,3,0,3
24,3,4,0,2
24,3,3,0,1
24,4,3,0,0
24,5,3,1,11
24,6,3,1,10
24,7,3,1,9
24,8,3,1,8
24,11,3,1,7
24,3,2,1,6
24,4,2,1,5
24,5,2,1,4
24,6,2,1,3
24,7,2,1,2
24,8,2,1,1
24,9,2,1,0
24,10,2,2,11
24,11,2,2,10
24,12,2,2,9
24,13,2,2,8
24,14,2,2,7
24,15,2,2,6
24,17,2,2,5
24,3,1,2,4
24,4,1,2,3
24,5,1,2,2
24,6,1,2,1
24,7,1,2,0
24,8,1,3,11
24,9,1,3,10
24,10,1,3,9
24,11,1,3,8
24,12,1,3,7
24,13,1,3,6
24,14,1,3,5
24,15,1,3,4
24,16,1,3,3
24,17,1,3,2
24,18,1,3,1
24,20,1,3,0
24,1,7,4,10
24,1,6,4,9
24,1,5,4,8
24,1,4,4,7
24,1,3,4,6
24,1,2,4,5
24,1,1,4,4
24,1,0,4,3
24,2,2,4,2
24,2,1,4,1
24,21,1,4,0
24,23,1,5,10
24,24,1,5,9
24,3,0,5,8
24,4,0,5,7
24,5,0,5,6
24,6,0,5,5
24,7,0,5,4
24,8,0,5,3
24,9,0,5,2
24,10,0,5,1
24,11,0,5,0
24,12,0,6,10
24,13,0,6,9
24,14,0,6,8
24,15,0,6,7
24,16,0,6,6
24,17,0,6,5
24,18,0,6,4
24,19,0,6,3
24,20,0,6,2
24,21,0,6,1
24,22,0,6,0
24,23,0,7,6
24,24,0,7,5
24,25,0,7,4
24,2,0,7,3
24,0,1,7,2
24,0,0,7,1
24,26,0,7,0
25,0,7,0,11
25,0,6,0,10
25,0,5,0,9
25,0,4,0,8
25,0,3,0,7
25,0,2,0,6
25,2,5,0,5
25,2,4,0,4
25,2,3,0,3
25,3,4,0,2
25,3,3,0,1
25,4,3,0,0
25,5,3,1,11
25,6,3,1,10
25,8,3,1,9
25,11,3,1,8
25,3,2,1,7
25,4,2,1,6
25,5,2,1,5
25,6,2,1,4
25,7,2,1,3
25,8,2,1,2
25,9,2,1,1
25,10,2,1,0
25,11,2,2,11
25,12,2,2,10
25,13,2,2,9
25,14,2,2,8
25,15,2,2,7
25,17,2,2,6
25,3,1,2,5
25,4,1,2,4
25,5,1,2,3
25,6,1,2,2
25,7,1,2,1
25,8,1,2,0
25,9,1,3,11
25,10,1,3,10
25,11,1,3,9
25,12,1,3,8
25,13,1,3,7
25,14,1,3,6
25,15,1,3,5
25,16,1,3,4
25,17,1,3,3
25,18,1,3,2
25,20,1,3,1
25,21,1,3,0
25,1,8,4,10
25,1,7,4,9
25,1,6,4,8
25,1,5,4,7
25,1,4,4,6
25,1,3,4,5
25,1,2,4,4
25,1,1,4,3
25,1,0,4,2
25,2,2,4,1
25,2,1,4,0
25,23,1,5,10
25,3,0,5,9
25,4,0,5,8
25,5,0,5,7
25,6,0,5,6
25,7,0,5,5
25,8,0,5,4
25,9,0,5,3
25,10,0,5,2
25,11,0,5,1
25,12,0,5,0
25,13,0,6,10
25,14,0,6,9
25,15,0,6,8
25,16,0,6,7
25,17,0,6,6
25,18,0,6,5
25,19,0,6,4
25,20,0,6,3
25,21,0,6,2
25,22,0,6,1
25,23,0,6,0
25,24,0,7,6
25,25,0,7,5
25,26,0,7,4
25,2,0,7,3
25,0,1,7,2
25,0,0,7,1
25,27,0,7,0
26,0,7,0,11
26,0,6,0,10
26,0,5,0,9
26,0,4,0,8
26,0,3,0,7
26,0,2,0,6
26,2,5,0,5
26,2,4,0,4
26,2,3,0,3
26,3,4,0,2
26,3,3,0,1
26,4,3,0,0
26,5,3,1,11
26,8,3,1,10
26,11,3,1,9
26,3,2,1,8
26,4,2,1,7
26,5,2,1,6
26,6,2,1,5
26,7,2,1,4
26,8,2,1,3
26,9,2,1,2
26,10,2,1,1
26,11,2,1,0
26,12,2,2,11
26,13,2,2,10
26,14,2,2,9
26,17,2,2,8
26,3,1,2,7
26,4,1,2,6
26,5,1,2,5
26,6,1,2,4
26,7,1,2,3
26,8,1,2,2
26,9,1,2,1
26,10,1,2,0
26,11,1,3,11
26,12,1,3,10
26,13,1,3,9
26,14,1,3,8
26,15,1,3,7
26,16,1,3,6
26,17,1,3,5
26,18,1,3,4
26,20,1,3,3
26,21,1,3,2
26,24,1,3,1
26,25,1,3,0
26,1,8,4,10
26,1,7,4,9
26,1,6,4,8
26,1,5,4,7
26,1,4,4,6
26,1,3,4,5
26,1,2,4,4
26,1,1,4,3
26,1,0,4,2
26,2,2,4,1
26,2,1,4,0
26,3,0,5,10
26,4,0,5,9
26,5,0,5,8
26,6,0,5,7
26,7,0,5,6
26,8,0,5,5
26,9,0,5,4
26,10,0,5,3
26,11,0,5,2
26,12,0,5,1
26,13,0,5,0
26,14,0,6,10
26,15,0,6,9
26,16,0,6,8
26,17,0,6,7
26,18,0,6,6
26,19,0,6,5
26,20,0,6,4
26,21,0,6,3
26,22,0,6,2
26,23,0,6,1
26,24,0,6,0
26,25,0,7,6
26,26,0,7,5
26,27,0,7,4
26,2,0,7,3
26,0,1,7,2
26,0,0,7,1
26,28,0,7,0
27,0,7,0,11
27,0,6,0,10
27,0,5,0,9
27,0,4,0,8
27,0,3,0,7
27,0,2,0,6
27,2,5,0,5
27,2,4,0,4
27,2,3,0,3
27,3,4,0,2
27,3,3,0,1
27,4,3,0,0
27,5,3,1,11
27,8,3,1,10
27,11,3,1,9
27,3,2,1,8
27,4,2,1,7
27,5,2,1,6
27,6,2,1,5
27,7,2,1,4
27,8,2,1,3
27,9,2,1,2
27,11,2,1,1
27,12,2,1,0
27,14,2,2,11
27,17,2,2,10
27,3,1,2,9
27,4,1,2,8
27,5,1,2,7
27,6,1,2,6
27,7,1,2,5
27,8,1,2,4
27,9,1,2,3
27,10,1,2,2
27,11,1,2,1
27,12,1,2,0
27,13,1,3,11
27,14,1,3,10
27,15,1,3,9
27,16,1,3,8
27,17,1,3,7
27,18,1,3,6
27,19,1,3,5
27,21,1,3,4
27,22,1,3,3
27,25,1,3,2
27,26,1,3,1
27,3,0,3,0
27,1,8,4,10
27,1,7,4,9
27,1,6,4,8
27,1,5,4,7
27,1,4,4,6
27,1,3,4,5
27,1,2,4,4
27,1,1,4,3
27,1,0,4,2
27,2,2,4,1
27,2,1,4,0
27,4,0,5,10
27,5,0,5,9
27,6,0,5,8
27,7,0,5,7
27,8,0,5,6
27,9,0,5,5
27,10,0,5,4
27,11,0,5,3
27,12,0,5,2
27,13,0,5,1
27,14,0,5,0
27,15,0,6,10
27,16,0,6,9
27,17,0,6,8
27,18,0,6,7
27,19,0,6,6
27,20,0,6,5
27,21,0,6,4
27,22,0,6,3
27,23,0,6,2
27,24,0,6,1
27,25,0,6,0
27,26,0,7,6
27,27,0,7,5
27,28,0,7,4
27,2,0,7,3
27,0,1,7,2
27,0,0,7,1
27,29,0,7,0
28,0,7,0,11
28,0,6,0,10
28,0,5,0,9
28,0,4,0,8
28,0,3,0,7
28,0,2,0,6
28,2,5,0,5
28,2,4,0,4
28,2,3,0,3
28,3,3,0,2
28,4,3,0,1
28,5,3,0,0
28,8,3,1,11
28,11,3,1,10
28,3,2,1,9
28,4,2,1,8
28,5,2,1,7
28,6,2,1,6
28,7,2,1,5
28,8,2,1,4
28,9,2,1,3
28,11,2,1,2
28,12,2,1,1
28,14,2,1,0
28,18,2,2,11
28,3,1,2,10
28,4,1,2,9
28,5,1,2,8
28,6,1,2,7
28,7,1,2,6
28,8,1,2,5
28,9,1,2,4
28,10,1,2,3
28,11,1,2,2
28,12,1,2,1
28,13,1,2,0
28,14,1,3,11
28,15,1,3,10
28,16,1,3,9
28,17,1,3,8
28,18,1,3,7
28,19,1,3,6
28,22,1,3,5
28,23,1,3,4
28,26,1,3,3
28,3,0,3,2
28,4,0,3,1
28,5,0,3,0
28,1,9,4,10
28,1,8,4,9
28,1,7,4,8
28,1,6,4,7
28,1,5,4,6
28,1,4,4,5
28,1,3,4,4
28,1,2,4,3
28,1,1,4,2
28,1,0,4,1
28,2,2,4,0
28,2,1,5,10
28,6,0,5,9
28,7,0,5,8
28,8,0,5,7
28,9,0,5,6
28,10,0,5,5
28,11,0,5,4
28,12,0,5,3
28,13,0,5,2
28,14,0,5,1
28,15,0,5,0
28,16,0,6,10
28,17,0,6,9
28,18,0,6,8
28,19,0,6,7
28,20,0,6,6
28,21,0,6,5
28,22,0,6,4
28,23,0,6,3
28,24,0,6,2
28,25,0,6,1
28,26,0,6,0
28,27,0,7,6
28,28,0,7,5
28,29,0,7,4
28,2,0,7,3
28,0,1,7,2
28,0,0,7,1
28,30,0,7,0
29,0,7,0,11
29,0,6,0,10
29,0,5,0,9
29,0,4,0,8
29,0,3,0,7
29,0,2,0,6
29,2,5,0,5
29,2,4,0,4
29,2,3,0,3
29,3,3,0,2
29,4,3,0,1
29,5,3,0,0
29,11,3,1,11
29,3,2,1,10
29,4,2,1,9
29,5,2,1,8
29,6,2,1,7
29,7,2,1,6
29,8,2,1,5
29,9,2,1,4
29,11,2,1,3
29,12,2,1,2
29,15,2,1,1
29,19,2,1,0
29,3,1,2,11
29,4,1,2,10
29,5,1,2,9
29,6,1,2,8
29,7,1,2,7
29,8,1,2,6
29,9,1,2,5
29,10,1,2,4
29,11,1,2,3
29,12,1,2,2
29,13,1,2,1
29,14,1,2,0
29,15,1,3,11
29,16,1,3,10
29,17,1,3,9
29,18,1,3,8
29,19,1,3,7
29,20,1,3,6
29,23,1,3,5
29,27,1,3,4
29,3,0,3,3
29,4,0,3,2
29,5,0,3,1
29,6,0,3,0
29,1,9,4,10
29,1,8,4,9
29,1,7,4,8
29,1,6,4,7
29,1,5,4,6
29,1,4,4,5
29,1,3,4,4
29,1,2,4,3
29,1,1,4,2
29,1,0,4,1
29,2,2,4,0
29,2,1,5,10
29,7,0,5,9
29,8,0,5,8
29,9,0,5,7
29,10,0,5,6
29,11,0,5,5
29,12,0,5,4
29,13,0,5,3
29,14,0,5,2
29,15,0,5,1
29,16,0,5,0
29,17,0,6,10
29,18,0,6,9
29,19,0,6,8
29,20,0,6,7
29,21,0,6,6
29,22,0,6,5
29,23,0,6,4
29,24,0,6,3
29,25,0,6,2
29,26,0,6,1
29,27,0,6,0
29,28,0,7,6
29,29,0,7,5
29,30,0,7,4
29,2,0,7,3
29,0,1,7,2
29,0,0,7,1
29,31,0,7,0
30,0,7,0,11
30,0,6,0,10
30,0,5,0,9
30,0,4,0,8
30,0,3,0,7
30,0,2,0,6
30,2,5,0,5
30,2,4,0,4
30,2,3,0,3
30,3,3,0,2
30,4,3,0,1
30,5,3,0,0
30,3,2,1,11
30,4,2,1,10
30,5,2,1,9
30,6,2,1,8
30,7,2,1,7
30,8,2,1,6
30,9,2,1,5
30,12,2,1,4
30,13,2,1,3
30,16,2,1,2
30,20,2,1,1
30,3,1,1,0
30,4,1,2,11
30,5,1,2,10
30,6,1,2,9
30,7,1,2,8
30,8,1,2,7
30,9,1,2,6
30,10,1,2,5
30,11,1,2,4
30,12,1,2,3
30,13,1,2,2
30,14,1,2,1
30,15,1,2,0
30,16,1,3,11
30,17,1,3,10
30,18,1,3,9
30,20,1,3,8
30,21,1,3,7
30,24,1,3,6
30,28,1,3,5
30,3,0,3,4
30,4,0,3,3
30,5,0,3,2
30,6,0,3,1
30,7,0,3,0
30,1,9,4,10
30,1,8,4,9
30,1,7,4,8
30,1,6,4,7
30,1,5,4,6
30,1,4,4,5
30,1,3,4,4
30,1,2,4,3
30,1,1,4,2
30,1,0,4,1
30,2,2,4,0
30,2,1,5,10
30,8,0,5,9
30,9,0,5,8
30,10,0,5,7
30,11,0,5,6
30,12,0,5,5
30,13,0,5,4
30,14,0,5,3
30,15,0,5,2
30,16,0,5,1
30,17,0,5,0
30,18,0,6,10
30,19,0,6,9
30,20,0,6,8
30,21,0,6,7
30,22,0,6,6
30,23,0,6,5
30,24,0,6,4
30,25,0,6,3
30,26,0,6,2
30,27,0,6,1
30,28,0,6,0
30,29,0,7,6
30,30,0,7,5
30,31,0,7,4
30,2,0,7,3
30,0,1,7,2
30,0,0,7,1
30,32,0,7,0
31,0,7,0,11
31,0,6,0,10
31,0,5,0,9
31,0,4,0,8
31,0,3,0,7
31,0,2,0,6
31,2,5,0,5
31,2,4,0,4
31,2,3,0,3
31,3,3,0,2
31,4,3,0,1
31,3,2,0,0
31,4,2,1,11
31,5,2,1,10
31,6,2,1,9
31,7,2,1,8
31,8,2,1,7
31,9,2,1,6
31,12,2,1,5
31,13,2,1,4
31,16,2,1,3
31,3,1,1,2
31,4,1,1,1
31,5,1,1,0
31,6,1,2,11
31,7,1,2,10
31,8,1,2,9
31,9,1,2,8
31,10,1,2,7
31,11,1,2,6
31,12,1,2,5
31,13,1,2,4
31,14,1,2,3
31,15,1,2,2
31,16,1,2,1
31,17,1,2,0
31,18,1,3,11
31,20,1,3,10
31,21,1,3,9
31,24,1,3,8
31,28,1,3,7
31,3,0,3,6
31,4,0,3,5
31,5,0,3,4
31,6,0,3,3
31,7,0,3,2
31,8,0,3,1
31,9,0,3,0
31,1,10,4,10
31,1,9,4,9
31,1,8,4,8
31,1,7,4,7
31,1,6,4,6
31,1,5,4,5
31,1,4,4,4
31,1,3,4,3
31,1,2,4,2
31,1,1,4,1
31,1,0,4,0
31,2,2,5,10
31,2,1,5,9
31,10,0,5,8
31,11,0,5,7
31,12,0,5,6
31,13,0,5,5
31,14,0,5,4
31,15,0,5,3
31,16,0,5,2
31,17,0,5,1
31,18,0,5,0
31,19,0,6,10
31,20,0,6,9
31,21,0,6,8
31,22,0,6,7
31,23,0,6,6
31,24,0,6,5
31,25,0,6,4
31,26,0,6,3
31,27,0,6,2
31,28,0,6,1
31,29,0,6,0
31,30,0,7,6
31,31,0,7,5
31,32,0,7,4
31,2,0,7,3
31,0,1,7,2
31,0,0,7,1
31,33,0,7,0
32,0,7,0,11
32,0,6,0,10
32,0,5,0,9
32,0,4,0,8
32,0,3,0,7
32,0,2,0,6
32,2,5,0,5
32,2,4,0,4
32,2,3,0,3
32,3,3,0,2
32,4,3,0,1
32,3,2,0,0
32,4,2,1,11
32,5,2,1,10
32,6,2,1,9
32,7,2,1,8
32,8,2,1,7
32,9,2,1,6
32,12,2,1,5
32,13,2,1,4
32,16,2,1,3
32,3,1,1,2
32,4,1,1,1
32,5,1,1,0
32,6,1,2,11
32,7,1,2,10
32,8,1,2,9
32,9,1,2,8
32,10,1,2,7
32,11,1,2,6
32,12,1,2,5
32,13,1,2,4
32,14,1,2,3
32,15,1,2,2
32,16,1,2,1
32,17,1,2,0
32,18,1,3,11
32,20,1,3,10
32,21,1,3,9
32,24,1,3,8
32,29,1,3,7
32,3,0,3,6
32,4,0,3,5
32,5,0,3,4
32,6,0,3,3
32,7,0,3,2
32,8,0,3,1
32,9,0,3,0
32,1,10,4,10
32,1,9,4,9
32,1,8,4,8
32,1,7,4,7
32,1,6,4,6
32,1,5,4,5
32,1,4,4,4
32,1,3,4,3
32,1,2,4,2
32,1,1,4,1
32,1,0,4,0
32,2,2,5,10
32,2,1,5,9
32,10,0,5,8
32,11,0,5,7
32,12,0,5,6
32,13,0,5,5
32,14,0,5,4
32,15,0,5,3
32,16,0,5,2
32,17,0,5,1
32,18,0,5,0
32,19,0,6,10
32,20,0,6,9
32,21,0,6,8
32,22,0,6,7
32,23,0,6,6
32,24,0,6,5
32,25,0,6,4
32,26,0,6,3
32,27,0,6,2
32,28,0,6,1
32,29,0,6,0
32,30,0,7,6
32,31,0,7,5
32,32,0,7,4
32,2,0,7,3
32,0,1,7,2
32,0,0,7,1
32,34,0,7,0
33,0,7,0,11
33,0,6,0,10
33,0,5,0,9
33,0,4,0,8
33,0,3,0,7
33,0,2,0,6
33,2,5,0,5
33,2,4,0,4
33,2,3,0,3
33,3,3,0,2
33,3,2,0,1
33,4,2,0,0
33,5,2,1,11
33,6,2,1,10
33,7,2,1,9
33,8,2,1,8
33,9,2,1,7
33,12,2,1,6
33,13,2,1,5
33,16,2,1,4
33,3,1,1,3
33,4,1,1,2
33,5,1,1,1
33,6,1,1,0
33,7,1,2,11
33,8,1,2,10
33,9,1,2,9
33,10,1,2,8
33,11,1,2,7
33,12,1,2,6
33,13,1,2,5
33,14,1,2,4
33,15,1,2,3
33,16,1,2,2
33,17,1,2,1
33,20,1,2,0
33,21,1,3,11
33,25,1,3,10
33,30,1,3,9
33,3,0,3,8
33,4,0,3,7
33,5,0,3,6
33,6,0,3,5
33,7,0,3,4
33,8,0,3,3
33,9,0,3,2
33,10,0,3,1
33,11,0,3,0
33,1,10,4,10
33,1,9,4,9
33,1,8,4,8
33,1,7,4,7
33,1,6,4,6
33,1,5,4,5
33,1,4,4,4
33,1,3,4,3
33,1,2,4,2
33,1,1,4,1
33,1,0,4,0
33,2,2,5,10
33,2,1,5,9
33,12,0,5,8
33,13,0,5,7
33,14,0,5,6
33,15,0,5,5
33,16,0,5,4
33,17,0,5,3
33,18,0,5,2
33,19,0,5,1
33,20,0,5,0
33,21,0,6,10
33,22,0,6,9
33,23,0,6,8
33,24,0,6,7
33,25,0,6,6
33,26,0,6,5
33,27,0,6,4
33,28,0,6,3
33,29,0,6,2
33,30,0,6,1
33,31,0,6,0
33,32,0,7,6
33,33,0,7,5
33,34,0,7,4
33,2,0,7,3
33,0,1,7,2
33,0,0,7,1
33,35,0,7,0
34,0,7,0,11
34,0,6,0,10
34,0,5,0,9
34,0,4,0,8
34,0,3,0,7
34,0,2,0,6
34,2,5,0,5
34,2,4,0,4
34,2,3,0,3
34,3,3,0,2
34,3,2,0,1
34,4,2,0,0
34,5,2,1,11
34,6,2,1,10
34,7,2,1,9
34,8,2,1,8
34,12,2,1,7
34,16,2,1,6
34,3,1,1,5
34,4,1,1,4
34,5,1,1,3
34,6,1,1,2
34,7,1,1,1
34,8,1,1,0
34,9,1,2,11
34,10,1,2,10
34,11,1,2,9
34,12,1,2,8
34,13,1,2,7
34,14,1,2,6
34,15,1,2,5
34,16,1,2,4
34,17,1,2,3
34,18,1,2,2
34,21,1,2,1
34,22,1,2,0
34,26,1,3,11
34,31,1,3,10
34,3,0,3,9
34,4,0,3,8
34,5,0,3,7
34,6,0,3,6
34,7,0,3,5
34,8,0,3,4
34,9,0,3,3
34,10,0,3,2
34,11,0,3,1
34,12,0,3,0
34,1,11,4,10
34,1,10,4,9
34,1,9,4,8
34,1,8,4,7
34,1,7,4,6
34,1,6,4,5
34,1,5,4,4
34,1,4,4,3
34,1,3,4,2
34,1,2,4,1
34,1,1,4,0
34,1,0,5,10
34,2,2,5,9
34,2,1,5,8
34,13,0,5,7
34,14,0,5,6
34,15,0,5,5
34,16,0,5,4
34,17,0,5,3
34,18,0,5,2
34,19,0,5,1
34,20,0,5,0
34,21,0,6,10
34,22,0,6,9
34,23,0,6,8
34,24,0,6,7
34,25,0,6,6
34,26,0,6,5
34,27,0,6,4
34,28,0,6,3
34,29,0,6,2
34,30,0,6,1
34,31,0,6,0
34,32,0,7,6
34,33,0,7,5
34,34,0,7,4
34,2,0,7,3
34,0,1,7,2
34,0,0,7,1
34,36,0,7,0
35,0,7,0,11
35,0,6,0,10
35,0,5,0,9
35,0,4,0,8
35,0,3,0,7
35,0,2,0,6
35,2,5,0,5
35,2,4,0,4
35,2,3,0,3
35,3,3,0,2
35,3,2,0,1
35,4,2,0,0
35,5,2,1,11
35,6,2,1,10
35,7,2,1,9
35,8,2,1,8
35,12,2,1,7
35,17,2,1,6
35,3,1,1,5
35,4,1,1,4
35,5,1,1,3
35,6,1,1,2
35,7,1,1,1
35,8,1,1,0
35,9,1,2,11
35,10,1,2,10
35,11,1,2,9
35,12,1,2,8
35,13,1,2,7
35,14,1,2,6
35,15,1,2,5
35,16,1,2,4
35,17,1,2,3
35,18,1,2,2
35,22,1,2,1
35,23,1,2,0
35,27,1,3,11
35,32,1,3,10
35,3,0,3,9
35,4,0,3,8
35,5,0,3,7
35,6,0,3,6
35,7,0,3,5
35,8,0,3,4
35,9,0,3,3
35,10,0,3,2
35,11,0,3,1
35,12,0,3,0
35,1,11,4,10
35,1,10,4,9
35,1,9,4,8
35,1,8,4,7
35,1,7,4,6
35,1,6,4,5
35,1,5,4,4
35,1,4,4,3
35,1,3,4,2
35,1,2,4,1
35,1,1,4,0
35,1,0,5,10
35,2,2,5,9
35,2,1,5,8
35,13,0,5,7
35,14,0,5,6
35,15,0,5,5
35,16,0,5,4
35,17,0,5,3
35,18,0,5,2
35,19,0,5,1
35,20,0,5,0
35,21,0,6,10
35,22,0,6,9
35,23,0,6,8
35,24,0,6,7
35,25,0,6,6
35,26,0,6,5
35,27,0,6,4
35,28,0,6,3
35,29,0,6,2
35,30,0,6,1
35,32,0,6,0
35,33,0,7,6
35,34,0,7,5
35,35,0,7,4
35,2,0,7,3
35,0,1,7,2
35,0,0,7,1
35,37,0,7,0
36,0,7,0,11
36,0,6,0,10
36,0,5,0,9
36,0,4,0,8
36,0,3,0,7
36,0,2,0,6
36,2,5,0,5
36,2,4,0,4
36,2,3,0,3
36,3,3,0,2
36,3,2,0,1
36,4,2,0,0
36,5,2,1,11
36,6,2,1,10
36,7,2,1,9
36,8,2,1,8
36,13,2,1,7
36,18,2,1,6
36,3,1,1,5
36,4,1,1,4
36,5,1,1,3
36,6,1,1,2
36,7,1,1,1
36,8,1,1,0
36,9,1,2,11
36,10,1,2,10
36,11,1,2,9
36,13,1,2,8
36,14,1,2,7
36,15,1,2,6
36,16,1,2,5
36,18,1,2,4
36,19,1,2,3
36,23,1,2,2
36,24,1,2,1
36,28,1,2,0
36,33,1,3,11
36,3,0,3,10
36,4,0,3,9
36,5,0,3,8
36,6,0,3,7
36,7,0,3,6
36,8,0,3,5
36,9,0,3,4
36,10,0,3,3
36,11,0,3,2
36,12,0,3,1
36,13,0,3,0
36,1,11,4,10
36,1,10,4,9
36,1,9,4,8
36,1,8,4,7
36,1,7,4,6
36,1,6,4,5
36,1,5,4,4
36,1,4,4,3
36,1,3,4,2
36,1,2,4,1
36,1,1,4,0
36,1,0,5,10
36,2,2,5,9
36,2,1,5,8
36,14,0,5,7
36,15,0,5,6
36,16,0,5,5
36,17,0,5,4
36,18,0,5,3
36,19,0,5,2
36,20,0,5,1
36,21,0,5,0
36,22,0,6,10
36,23,0,6,9
36,24,0,6,8
36,25,0,6,7
36,26,0,6,6
36,27,0,6,5
