# TIA-102.BABA-A annex_g_hoc_allocation.csv — Bit Allocation for Higher Order DCT Coefficients (full-rate)
# Source: BABA-A PDF, pages 89-101
# Extracted from pdftotext -layout output with verification: Entry count = L-6 per L (3 at L=9 up to 50 at L=56); b_m contiguous from 8
L,C_i,C_k,b_m,B_m
31,2,5,15,2
31,3,2,16,3
31,3,3,17,2
31,3,4,18,2
31,3,5,19,1
31,4,2,20,2
31,4,3,21,2
31,4,4,22,1
31,4,5,23,1
31,5,2,24,2
31,5,3,25,1
31,5,4,26,1
31,5,5,27,1
31,6,2,28,2
31,6,3,29,1
31,6,4,30,1
31,6,5,31,1
31,6,6,32,1
32,1,2,8,3
32,1,3,9,3
32,1,4,10,2
32,1,5,11,2
32,2,2,12,3
32,2,3,13,3
32,2,4,14,2
32,2,5,15,2
32,3,2,16,3
32,3,3,17,2
32,3,4,18,2
32,3,5,19,1
32,4,2,20,2
32,4,3,21,2
32,4,4,22,1
32,4,5,23,1
32,5,2,24,2
32,5,3,25,1
32,5,4,26,1
32,5,5,27,1
32,5,6,28,1
32,6,2,29,2
32,6,3,30,1
32,6,4,31,1
32,6,5,32,1
32,6,6,33,0
33,1,2,8,3
33,1,3,9,3
33,1,4,10,2
33,1,5,11,2
33,2,2,12,3
33,2,3,13,3
33,2,4,14,2
33,2,5,15,2
33,3,2,16,3
33,3,3,17,2
33,3,4,18,1
33,3,5,19,1
33,4,2,20,2
33,4,3,21,2
33,4,4,22,1
33,4,5,23,1
33,4,6,24,1
33,5,2,25,2
33,5,3,26,1
33,5,4,27,1
33,5,5,28,1
33,5,6,29,1
33,6,2,30,2
33,6,3,31,1
33,6,4,32,1
33,6,5,33,1
33,6,6,34,1
34,1,2,8,3
34,1,3,9,2
34,1,4,10,2
34,1,5,11,2
34,2,2,12,3
34,2,3,13,2
34,2,4,14,2
34,2,5,15,2
34,3,2,16,3
34,3,3,17,2
34,3,4,18,2
34,3,5,19,1
34,3,6,20,1
34,4,2,21,2
34,4,3,22,2
34,4,4,23,1
34,4,5,24,1
34,4,6,25,1
34,5,2,26,2
34,5,3,27,1
34,5,4,28,1
34,5,5,29,1
34,5,6,30,1
34,6,2,31,2
34,6,3,32,1
34,6,4,33,1
34,6,5,34,1
34,6,6,35,0
35,1,2,8,3
35,1,3,9,2
35,1,4,10,2
35,1,5,11,2
35,2,2,12,3
35,2,3,13,2
35,2,4,14,2
35,2,5,15,2
35,2,6,16,2
35,3,2,17,3
35,3,3,18,2
35,3,4,19,1
35,3,5,20,1
35,3,6,21,1
35,4,2,22,2
35,4,3,23,2
35,4,4,24,1
35,4,5,25,1
35,4,6,26,1
35,5,2,27,2
35,5,3,28,1
35,5,4,29,1
35,5,5,30,1
35,5,6,31,0
35,6,2,32,2
35,6,3,33,1
35,6,4,34,1
35,6,5,35,1
35,6,6,36,0
36,1,2,8,3
36,1,3,9,2
36,1,4,10,2
36,1,5,11,2
36,1,6,12,1
36,2,2,13,3
36,2,3,14,2
36,2,4,15,2
36,2,5,16,2
36,2,6,17,1
36,3,2,18,3
36,3,3,19,2
36,3,4,20,1
36,3,5,21,1
36,3,6,22,1
36,4,2,23,2
36,4,3,24,2
36,4,4,25,1
36,4,5,26,1
36,4,6,27,1
36,5,2,28,2
36,5,3,29,1
36,5,4,30,1
36,5,5,31,1
36,5,6,32,0
36,6,2,33,2
36,6,3,34,1
36,6,4,35,1
36,6,5,36,1
36,6,6,37,0
37,1,2,8,3
37,1,3,9,2
37,1,4,10,2
37,1,5,11,2
37,1,6,12,1
37,2,2,13,3
37,2,3,14,2
37,2,4,15,2
37,2,5,16,2
37,2,6,17,2
37,3,2,18,3
37,3,3,19,2
37,3,4,20,1
37,3,5,21,1
37,3,6,22,1
37,4,2,23,2
37,4,3,24,1
37,4,4,25,1
37,4,5,26,1
37,4,6,27,1
37,5,2,28,2
37,5,3,29,1
37,5,4,30,1
37,5,5,31,1
37,5,6,32,0
37,6,2,33,2
37,6,3,34,1
37,6,4,35,1
37,6,5,36,1
37,6,6,37,1
37,6,7,38,0
38,1,2,8,3
38,1,3,9,2
38,1,4,10,2
38,1,5,11,2
38,1,6,12,1
38,2,2,13,3
38,2,3,14,2
38,2,4,15,2
38,2,5,16,2
38,2,6,17,1
38,3,2,18,3
38,3,3,19,2
38,3,4,20,1
38,3,5,21,1
38,3,6,22,1
38,4,2,23,2
38,4,3,24,1
38,4,4,25,1
38,4,5,26,1
38,4,6,27,1
38,5,2,28,2
38,5,3,29,1
38,5,4,30,1
38,5,5,31,1
38,5,6,32,1
38,5,7,33,0
38,6,2,34,2
38,6,3,35,1
38,6,4,36,1
38,6,5,37,1
38,6,6,38,1
38,6,7,39,0
39,1,2,8,3
39,1,3,9,2
39,1,4,10,2
39,1,5,11,2
39,1,6,12,1
39,2,2,13,3
39,2,3,14,2
39,2,4,15,2
39,2,5,16,2
39,2,6,17,1
39,3,2,18,3
39,3,3,19,2
39,3,4,20,1
39,3,5,21,1
39,3,6,22,1
39,4,2,23,2
39,4,3,24,2
39,4,4,25,1
39,4,5,26,1
39,4,6,27,1
39,4,7,28,0
39,5,2,29,2
39,5,3,30,1
39,5,4,31,1
39,5,5,32,1
39,5,6,33,1
39,5,7,34,0
39,6,2,35,2
39,6,3,36,1
39,6,4,37,1
39,6,5,38,1
39,6,6,39,0
39,6,7,40,0
40,1,2,8,3
40,1,3,9,2
40,1,4,10,2
40,1,5,11,2
40,1,6,12,1
40,2,2,13,3
40,2,3,14,2
40,2,4,15,2
40,2,5,16,1
40,2,6,17,1
40,3,2,18,3
40,3,3,19,2
40,3,4,20,1
40,3,5,21,1
40,3,6,22,1
40,3,7,23,1
40,4,2,24,2
40,4,3,25,2
40,4,4,26,1
40,4,5,27,1
40,4,6,28,1
40,4,7,29,0
40,5,2,30,2
40,5,3,31,1
40,5,4,32,1
40,5,5,33,1
40,5,6,34,1
40,5,7,35,0
40,6,2,36,2
40,6,3,37,1
40,6,4,38,1
40,6,5,39,1
40,6,6,40,0
40,6,7,41,0
41,1,2,8,3
41,1,3,9,2
41,1,4,10,2
41,1,5,11,1
41,1,6,12,1
41,2,2,13,3
41,2,3,14,2
41,2,4,15,2
41,2,5,16,2
41,2,6,17,1
41,2,7,18,1
41,3,2,19,3
41,3,3,20,2
41,3,4,21,1
41,3,5,22,1
41,3,6,23,1
41,3,7,24,1
41,4,2,25,2
41,4,3,26,2
41,4,4,27,1
41,4,5,28,1
