# TIA-102.BAAA-B annex_a4_ldu2_transmit_bit_order.csv -- LDU2 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 71-83
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 864..1727 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
864,Frame,0,1
865,Sync,0,1
866,Sync,0,1
867,Sync,0,1
868,Sync,0,1
869,Sync,1,1
870,Sync,0,1
871,Sync,0,1
872,Sync,1,1
873,Sync,1,1
874,Sync,0,1
875,Sync,0,1
876,Sync,1,1
877,Sync,1,1
878,Sync,1,1
879,Sync,1,1
880,Sync,0,1
881,Sync,1,1
882,Sync,0,1
883,Sync,1,1
884,Sync,1,1
885,Sync,1,1
886,Sync,1,1
887,Sync,1,1
888,Network,NAC(11),NAC(10)
889,ID,NAC(9),NAC(8)
890,ID,NAC(7),NAC(6)
891,ID,NAC(5),NAC(4)
892,ID,NAC(3),NAC(2)
893,ID,NAC(1),NAC(0)
894,ID,DUID(3),DUID(2)
895,ID,DUID(1),DUID(0)
896,ID,BCH_parity(47),BCH_parity(46)
897,ID,BCH_parity(45),BCH_parity(44)
898,ID,BCH_parity(43),BCH_parity(42)
899,Status 25,SS(1),SS(0)
900,Status 25,BCH_parity(41),BCH_parity(40)
901,Status 25,BCH_parity(39),BCH_parity(38)
902,Status 25,BCH_parity(37),BCH_parity(36)
903,Status 25,BCH_parity(35),BCH_parity(34)
904,Status 25,BCH_parity(33),BCH_parity(32)
905,Status 25,BCH_parity(31),BCH_parity(30)
906,Status 25,BCH_parity(29),BCH_parity(28)
907,Status 25,BCH_parity(27),BCH_parity(26)
908,Status 25,BCH_parity(25),BCH_parity(24)
909,Status 25,BCH_parity(23),BCH_parity(22)
910,Status 25,BCH_parity(21),BCH_parity(20)
911,Status 25,BCH_parity(19),BCH_parity(18)
912,Status 25,BCH_parity(17),BCH_parity(16)
913,Status 25,BCH_parity(15),BCH_parity(14)
914,Status 25,BCH_parity(13),BCH_parity(12)
915,Status 25,BCH_parity(11),BCH_parity(10)
916,Status 25,BCH_parity(9),BCH_parity(8)
917,Status 25,BCH_parity(7),BCH_parity(6)
918,Status 25,BCH_parity(5),BCH_parity(4)
919,Status 25,BCH_parity(3),BCH_parity(2)
920,Status 25,BCH_parity(1),BCH_parity(0)
921,IMBE 10,c_0(22),c_1(21)
922,IMBE 10,c_2(20),c_3(19)
923,IMBE 10,c_4(10),c_5(1)
924,IMBE 10,c_1(20),c_0(21)
925,IMBE 10,c_3(18),c_2(19)
926,IMBE 10,c_5(0),c_4(9)
927,IMBE 10,c_0(20),c_1(19)
928,IMBE 10,c_2(18),c_3(17)
929,IMBE 10,c_4(8),c_6(14)
930,IMBE 10,c_1(18),c_0(19)
931,IMBE 10,c_3(16),c_2(17)
932,IMBE 10,c_6(13),c_4(7)
933,IMBE 10,c_0(18),c_1(17)
934,IMBE 10,c_2(16),c_3(15)
935,Status 26,SS(1),SS(0)
936,Status 26,c_4(6),c_6(12)
937,Status 26,c_1(16),c_0(17)
938,Status 26,c_3(14),c_2(15)
939,Status 26,c_6(11),c_4(5)
940,Status 26,c_0(16),c_1(15)
941,Status 26,c_2(14),c_3(13)
942,Status 26,c_4(4),c_6(10)
943,Status 26,c_1(14),c_0(15)
944,Status 26,c_3(12),c_2(13)
945,Status 26,c_6(9),c_4(3)
946,Status 26,c_0(14),c_1(13)
947,Status 26,c_2(12),c_3(11)
948,Status 26,c_4(2),c_6(8)
949,Status 26,c_1(12),c_0(13)
950,Status 26,c_3(10),c_2(11)
951,Status 26,c_6(7),c_4(1)
952,Status 26,c_0(12),c_1(11)
953,Status 26,c_2(10),c_3(9)
954,Status 26,c_4(0),c_6(6)
955,Status 26,c_1(10),c_0(11)
956,Status 26,c_3(8),c_2(9)
957,Status 26,c_6(5),c_5(14)
958,Status 26,c_0(10),c_1(9)
959,Status 26,c_2(8),c_3(7)
960,Status 26,c_5(13),c_6(4)
961,Status 26,c_1(8),c_0(9)
962,Status 26,c_3(6),c_2(7)
963,Status 26,c_6(3),c_5(12)
964,Status 26,c_0(8),c_1(7)
965,Status 26,c_2(6),c_3(5)
966,Status 26,c_5(11),c_6(2)
967,Status 26,c_1(6),c_0(7)
968,Status 26,c_3(4),c_2(5)
969,Status 26,c_6(1),c_5(10)
970,Status 26,c_0(6),c_1(5)
971,Status 27,SS(1),SS(0)
