# TIA-102.BAAA-B annex_a4_ldu2_transmit_bit_order.csv -- LDU2 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 71-83
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 864..1727 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
972,Status 27,c_2(4),c_3(3)
973,Status 27,c_5(9),c_6(0)
974,Status 27,c_1(4),c_0(5)
975,Status 27,c_3(2),c_2(3)
976,Status 27,c_7(6),c_5(8)
977,Status 27,c_0(4),c_1(3)
978,Status 27,c_2(2),c_3(1)
979,Status 27,c_5(7),c_7(5)
980,Status 27,c_1(2),c_0(3)
981,Status 27,c_3(0),c_2(1)
982,Status 27,c_7(4),c_5(6)
983,Status 27,c_0(2),c_1(1)
984,Status 27,c_2(0),c_4(14)
985,Status 27,c_5(5),c_7(3)
986,Status 27,c_1(0),c_0(1)
987,Status 27,c_4(13),c_3(22)
988,Status 27,c_7(2),c_5(4)
989,Status 27,c_0(0),c_2(22)
990,Status 27,c_3(21),c_4(12)
991,Status 27,c_5(3),c_7(1)
992,Status 27,c_2(21),c_1(22)
993,Status 27,c_4(11),c_3(20)
994,END of 10,c_7(0),c_5(2)
995,IMBE 11,c_0(22),c_1(21)
996,IMBE 11,c_2(20),c_3(19)
997,IMBE 11,c_4(10),c_5(1)
998,IMBE 11,c_1(20),c_0(21)
999,IMBE 11,c_3(18),c_2(19)
1000,IMBE 11,c_5(0),c_4(9)
1001,IMBE 11,c_0(20),c_1(19)
1002,IMBE 11,c_2(18),c_3(17)
1003,IMBE 11,c_4(8),c_6(14)
1004,IMBE 11,c_1(18),c_0(19)
1005,IMBE 11,c_3(16),c_2(17)
1006,IMBE 11,c_6(13),c_4(7)
1007,Status 28,SS(1),SS(0)
1008,Status 28,c_0(18),c_1(17)
1009,Status 28,c_2(16),c_3(15)
1010,Status 28,c_4(6),c_6(12)
1011,Status 28,c_1(16),c_0(17)
1012,Status 28,c_3(14),c_2(15)
1013,Status 28,c_6(11),c_4(5)
1014,Status 28,c_0(16),c_1(15)
1015,Status 28,c_2(14),c_3(13)
1016,Status 28,c_4(4),c_6(10)
1017,Status 28,c_1(14),c_0(15)
1018,Status 28,c_3(12),c_2(13)
1019,Status 28,c_6(9),c_4(3)
1020,Status 28,c_0(14),c_1(13)
1021,Status 28,c_2(12),c_3(11)
1022,Status 28,c_4(2),c_6(8)
1023,Status 28,c_1(12),c_0(13)
1024,Status 28,c_3(10),c_2(11)
1025,Status 28,c_6(7),c_4(1)
1026,Status 28,c_0(12),c_1(11)
1027,Status 28,c_2(10),c_3(9)
1028,Status 28,c_4(0),c_6(6)
1029,Status 28,c_1(10),c_0(11)
1030,Status 28,c_3(8),c_2(9)
1031,Status 28,c_6(5),c_5(14)
1032,Status 28,c_0(10),c_1(9)
1033,Status 28,c_2(8),c_3(7)
1034,Status 28,c_5(13),c_6(4)
1035,Status 28,c_1(8),c_0(9)
1036,Status 28,c_3(6),c_2(7)
1037,Status 28,c_6(3),c_5(12)
1038,Status 28,c_0(8),c_1(7)
1039,Status 28,c_2(6),c_3(5)
1040,Status 28,c_5(11),c_6(2)
1041,Status 28,c_1(6),c_0(7)
1042,Status 28,c_3(4),c_2(5)
1043,Status 29,SS(1),SS(0)
1044,Status 29,c_6(1),c_5(10)
1045,Status 29,c_0(6),c_1(5)
1046,Status 29,c_2(4),c_3(3)
1047,Status 29,c_5(9),c_6(0)
1048,Status 29,c_1(4),c_0(5)
1049,Status 29,c_3(2),c_2(3)
1050,Status 29,c_7(6),c_5(8)
1051,Status 29,c_0(4),c_1(3)
1052,Status 29,c_2(2),c_3(1)
1053,Status 29,c_5(7),c_7(5)
1054,Status 29,c_1(2),c_0(3)
1055,Status 29,c_3(0),c_2(1)
1056,Status 29,c_7(4),c_5(6)
1057,Status 29,c_0(2),c_1(1)
1058,Status 29,c_2(0),c_4(14)
1059,Status 29,c_5(5),c_7(3)
1060,Status 29,c_1(0),c_0(1)
1061,Status 29,c_4(13),c_3(22)
1062,Status 29,c_7(2),c_5(4)
1063,Status 29,c_0(0),c_2(22)
1064,Status 29,c_3(21),c_4(12)
1065,Status 29,c_5(3),c_7(1)
1066,Status 29,c_2(21),c_1(22)
1067,Status 29,c_4(11),c_3(20)
1068,END of 11,c_7(0),c_5(2)
1069,END of 11,MI(71),MI(70)
1070,END of 11,MI(69),MI(68)
1071,END of 11,MI(67),MI(66)
1072,END of 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
1073,END of 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
1074,END of 11,MI(65),MI(64)
1075,END of 11,MI(63),MI(62)
1076,END of 11,MI(61),MI(60)
1077,END of 11,Short_Hamm_parity(3),Short_Hamm_parity(2)
1078,END of 11,Short_Hamm_parity(1),Short_Hamm_parity(0)
1079,Status 30,SS(1),SS(0)
1080,Status 30,MI(59),MI(58)
1081,Status 30,MI(57),MI(56)
1082,Status 30,MI(55),MI(54)
1083,Status 30,Short_Hamm_parity(3),Short_Hamm_parity(2)
1084,Status 30,Short_Hamm_parity(1),Short_Hamm_parity(0)
1085,Status 30,MI(53),MI(52)
1086,Status 30,MI(51),MI(50)
1087,Status 30,MI(49),MI(48)
1088,Status 30,Short_Hamm_parity(3),Short_Hamm_parity(2)
1089,Status 30,Short_Hamm_parity(1),Short_Hamm_parity(0)
1090,IMBE 12,c_0(22),c_1(21)
1091,IMBE 12,c_2(20),c_3(19)
1092,IMBE 12,c_4(10),c_5(1)
1093,IMBE 12,c_1(20),c_0(21)
1094,IMBE 12,c_3(18),c_2(19)
1095,IMBE 12,c_5(0),c_4(9)
1096,IMBE 12,c_0(20),c_1(19)
1097,IMBE 12,c_2(18),c_3(17)
1098,IMBE 12,c_4(8),c_6(14)
1099,IMBE 12,c_1(18),c_0(19)
1100,IMBE 12,c_3(16),c_2(17)
1101,IMBE 12,c_6(13),c_4(7)
1102,IMBE 12,c_0(18),c_1(17)
1103,IMBE 12,c_2(16),c_3(15)
1104,IMBE 12,c_4(6),c_6(12)
1105,IMBE 12,c_1(16),c_0(17)
1106,IMBE 12,c_3(14),c_2(15)
1107,IMBE 12,c_6(11),c_4(5)
1108,IMBE 12,c_0(16),c_1(15)
1109,IMBE 12,c_2(14),c_3(13)
1110,IMBE 12,c_4(4),c_6(10)
1111,IMBE 12,c_1(14),c_0(15)
1112,IMBE 12,c_3(12),c_2(13)
1113,IMBE 12,c_6(9),c_4(3)
1114,IMBE 12,c_0(14),c_1(13)
1115,Status 31,SS(1),SS(0)
1116,Status 31,c_2(12),c_3(11)
1117,Status 31,c_4(2),c_6(8)
1118,Status 31,c_1(12),c_0(13)
1119,Status 31,c_3(10),c_2(11)
1120,Status 31,c_6(7),c_4(1)
1121,Status 31,c_0(12),c_1(11)
1122,Status 31,c_2(10),c_3(9)
1123,Status 31,c_4(0),c_6(6)
1124,Status 31,c_1(10),c_0(11)
1125,Status 31,c_3(8),c_2(9)
1126,Status 31,c_6(5),c_5(14)
1127,Status 31,c_0(10),c_1(9)
1128,Status 31,c_2(8),c_3(7)
1129,Status 31,c_5(13),c_6(4)
1130,Status 31,c_1(8),c_0(9)
1131,Status 31,c_3(6),c_2(7)
1132,Status 31,c_6(3),c_5(12)
1133,Status 31,c_0(8),c_1(7)
1134,Status 31,c_2(6),c_3(5)
1135,Status 31,c_5(11),c_6(2)
1136,Status 31,c_1(6),c_0(7)
1137,Status 31,c_3(4),c_2(5)
1138,Status 31,c_6(1),c_5(10)
1139,Status 31,c_0(6),c_1(5)
1140,Status 31,c_2(4),c_3(3)
1141,Status 31,c_5(9),c_6(0)
1142,Status 31,c_1(4),c_0(5)
1143,Status 31,c_3(2),c_2(3)
1144,Status 31,c_7(6),c_5(8)
1145,Status 31,c_0(4),c_1(3)
1146,Status 31,c_2(2),c_3(1)
1147,Status 31,c_5(7),c_7(5)
1148,Status 31,c_1(2),c_0(3)
1149,Status 31,c_3(0),c_2(1)
1150,Status 31,c_7(4),c_5(6)
1151,Status 32,SS(1),SS(0)
1152,Status 32,c_0(2),c_1(1)
1153,Status 32,c_2(0),c_4(14)
1154,Status 32,c_5(5),c_7(3)
1155,Status 32,c_1(0),c_0(1)
1156,Status 32,c_4(13),c_3(22)
1157,Status 32,c_7(2),c_5(4)
1158,Status 32,c_0(0),c_2(22)
1159,Status 32,c_3(21),c_4(12)
1160,Status 32,c_5(3),c_7(1)
1161,Status 32,c_2(21),c_1(22)
1162,Status 32,c_4(11),c_3(20)
1163,END of 12,c_7(0),c_5(2)
1164,END of 12,MI(47),MI(46)
1165,END of 12,MI(45),MI(44)
1166,END of 12,MI(43),MI(42)
1167,END of 12,Short_Hamm_parity(3),Short_Hamm_parity(2)
1168,END of 12,Short_Hamm_parity(1),Short_Hamm_parity(0)
1169,END of 12,MI(41),MI(40)
1170,END of 12,MI(39),MI(38)
1171,END of 12,MI(37),MI(36)
1172,END of 12,Short_Hamm_parity(3),Short_Hamm_parity(2)
1173,END of 12,Short_Hamm_parity(1),Short_Hamm_parity(0)
1174,END of 12,MI(35),MI(34)
1175,END of 12,MI(33),MI(32)
1176,END of 12,MI(31),MI(30)
1177,END of 12,Short_Hamm_parity(3),Short_Hamm_parity(2)
1178,END of 12,Short_Hamm_parity(1),Short_Hamm_parity(0)
1179,END of 12,MI(29),MI(28)
1180,END of 12,MI(27),MI(26)
1181,END of 12,MI(25),MI(24)
1182,END of 12,Short_Hamm_parity(3),Short_Hamm_parity(2)
1183,END of 12,Short_Hamm_parity(1),Short_Hamm_parity(0)
1184,IMBE 13,c_0(22),c_1(21)
1185,IMBE 13,c_2(20),c_3(19)
1186,IMBE 13,c_4(10),c_5(1)
1187,Status 33,SS(1),SS(0)
1188,Status 33,c_1(20),c_0(21)
1189,Status 33,c_3(18),c_2(19)
1190,Status 33,c_5(0),c_4(9)
1191,Status 33,c_0(20),c_1(19)
1192,Status 33,c_2(18),c_3(17)
1193,Status 33,c_4(8),c_6(14)
1194,Status 33,c_1(18),c_0(19)
1195,Status 33,c_3(16),c_2(17)
1196,Status 33,c_6(13),c_4(7)
1197,Status 33,c_0(18),c_1(17)
1198,Status 33,c_2(16),c_3(15)
1199,Status 33,c_4(6),c_6(12)
1200,Status 33,c_1(16),c_0(17)
1201,Status 33,c_3(14),c_2(15)
1202,Status 33,c_6(11),c_4(5)
1203,Status 33,c_0(16),c_1(15)
1204,Status 33,c_2(14),c_3(13)
1205,Status 33,c_4(4),c_6(10)
1206,Status 33,c_1(14),c_0(15)
1207,Status 33,c_3(12),c_2(13)
1208,Status 33,c_6(9),c_4(3)
1209,Status 33,c_0(14),c_1(13)
1210,Status 33,c_2(12),c_3(11)
1211,Status 33,c_4(2),c_6(8)
1212,Status 33,c_1(12),c_0(13)
1213,Status 33,c_3(10),c_2(11)
1214,Status 33,c_6(7),c_4(1)
1215,Status 33,c_0(12),c_1(11)
1216,Status 33,c_2(10),c_3(9)
1217,Status 33,c_4(0),c_6(6)
1218,Status 33,c_1(10),c_0(11)
1219,Status 33,c_3(8),c_2(9)
1220,Status 33,c_6(5),c_5(14)
1221,Status 33,c_0(10),c_1(9)
1222,Status 33,c_2(8),c_3(7)
1223,Status 34,SS(1),SS(0)
1224,Status 34,c_5(13),c_6(4)
1225,Status 34,c_1(8),c_0(9)
1226,Status 34,c_3(6),c_2(7)
1227,Status 34,c_6(3),c_5(12)
1228,Status 34,c_0(8),c_1(7)
1229,Status 34,c_2(6),c_3(5)
1230,Status 34,c_5(11),c_6(2)
1231,Status 34,c_1(6),c_0(7)
1232,Status 34,c_3(4),c_2(5)
1233,Status 34,c_6(1),c_5(10)
1234,Status 34,c_0(6),c_1(5)
1235,Status 34,c_2(4),c_3(3)
1236,Status 34,c_5(9),c_6(0)
1237,Status 34,c_1(4),c_0(5)
1238,Status 34,c_3(2),c_2(3)
1239,Status 34,c_7(6),c_5(8)
1240,Status 34,c_0(4),c_1(3)
1241,Status 34,c_2(2),c_3(1)
1242,Status 34,c_5(7),c_7(5)
1243,Status 34,c_1(2),c_0(3)
1244,Status 34,c_3(0),c_2(1)
1245,Status 34,c_7(4),c_5(6)
1246,Status 34,c_0(2),c_1(1)
1247,Status 34,c_2(0),c_4(14)
1248,Status 34,c_5(5),c_7(3)
1249,Status 34,c_1(0),c_0(1)
1250,Status 34,c_4(13),c_3(22)
1251,Status 34,c_7(2),c_5(4)
1252,Status 34,c_0(0),c_2(22)
1253,Status 34,c_3(21),c_4(12)
1254,Status 34,c_5(3),c_7(1)
1255,Status 34,c_2(21),c_1(22)
1256,Status 34,c_4(11),c_3(20)
1257,END of 13,c_7(0),c_5(2)
1258,END of 13,MI(23),MI(22)
1259,Status 35,SS(1),SS(0)
1260,Status 35,MI(21),MI(20)
1261,Status 35,MI(19),MI(18)
1262,Status 35,Short_Hamm_parity(3),Short_Hamm_parity(2)
1263,Status 35,Short_Hamm_parity(1),Short_Hamm_parity(0)
1264,Status 35,MI(17),MI(16)
1265,Status 35,MI(15),MI(14)
1266,Status 35,MI(13),MI(12)
1267,Status 35,Short_Hamm_parity(3),Short_Hamm_parity(2)
1268,Status 35,Short_Hamm_parity(1),Short_Hamm_parity(0)
1269,Status 35,MI(11),MI(10)
1270,Status 35,MI(9),MI(8)
1271,Status 35,MI(7),MI(6)
1272,Status 35,Short_Hamm_parity(3),Short_Hamm_parity(2)
1273,Status 35,Short_Hamm_parity(1),Short_Hamm_parity(0)
1274,Status 35,MI(5),MI(4)
1275,Status 35,MI(3),MI(2)
1276,Status 35,MI(1),MI(0)
1277,Status 35,Short_Hamm_parity(3),Short_Hamm_parity(2)
1278,Status 35,Short_Hamm_parity(1),Short_Hamm_parity(0)
1279,IMBE 14,c_0(22),c_1(21)
1280,IMBE 14,c_2(20),c_3(19)
1281,IMBE 14,c_4(10),c_5(1)
1282,IMBE 14,c_1(20),c_0(21)
1283,IMBE 14,c_3(18),c_2(19)
1284,IMBE 14,c_5(0),c_4(9)
1285,IMBE 14,c_0(20),c_1(19)
1286,IMBE 14,c_2(18),c_3(17)
1287,IMBE 14,c_4(8),c_6(14)
1288,IMBE 14,c_1(18),c_0(19)
1289,IMBE 14,c_3(16),c_2(17)
1290,IMBE 14,c_6(13),c_4(7)
1291,IMBE 14,c_0(18),c_1(17)
1292,IMBE 14,c_2(16),c_3(15)
1293,IMBE 14,c_4(6),c_6(12)
1294,IMBE 14,c_1(16),c_0(17)
1295,Status 36,SS(1),SS(0)
1296,Status 36,c_3(14),c_2(15)
1297,Status 36,c_6(11),c_4(5)
1298,Status 36,c_0(16),c_1(15)
1299,Status 36,c_2(14),c_3(13)
1300,Status 36,c_4(4),c_6(10)
1301,Status 36,c_1(14),c_0(15)
1302,Status 36,c_3(12),c_2(13)
1303,Status 36,c_6(9),c_4(3)
1304,Status 36,c_0(14),c_1(13)
1305,Status 36,c_2(12),c_3(11)
1306,Status 36,c_4(2),c_6(8)
1307,Status 36,c_1(12),c_0(13)
1308,Status 36,c_3(10),c_2(11)
1309,Status 36,c_6(7),c_4(1)
1310,Status 36,c_0(12),c_1(11)
1311,Status 36,c_2(10),c_3(9)
1312,Status 36,c_4(0),c_6(6)
1313,Status 36,c_1(10),c_0(11)
1314,Status 36,c_3(8),c_2(9)
1315,Status 36,c_6(5),c_5(14)
1316,Status 36,c_0(10),c_1(9)
1317,Status 36,c_2(8),c_3(7)
1318,Status 36,c_5(13),c_6(4)
1319,Status 36,c_1(8),c_0(9)
1320,Status 36,c_3(6),c_2(7)
1321,Status 36,c_6(3),c_5(12)
1322,Status 36,c_0(8),c_1(7)
1323,Status 36,c_2(6),c_3(5)
1324,Status 36,c_5(11),c_6(2)
1325,Status 36,c_1(6),c_0(7)
1326,Status 36,c_3(4),c_2(5)
1327,Status 36,c_6(1),c_5(10)
1328,Status 36,c_0(6),c_1(5)
1329,Status 36,c_2(4),c_3(3)
1330,Status 36,c_5(9),c_6(0)
1331,Status 37,SS(1),SS(0)
1332,Status 37,c_1(4),c_0(5)
1333,Status 37,c_3(2),c_2(3)
1334,Status 37,c_7(6),c_5(8)
1335,Status 37,c_0(4),c_1(3)
1336,Status 37,c_2(2),c_3(1)
1337,Status 37,c_5(7),c_7(5)
1338,Status 37,c_1(2),c_0(3)
1339,Status 37,c_3(0),c_2(1)
1340,Status 37,c_7(4),c_5(6)
1341,Status 37,c_0(2),c_1(1)
1342,Status 37,c_2(0),c_4(14)
1343,Status 37,c_5(5),c_7(3)
1344,Status 37,c_1(0),c_0(1)
1345,Status 37,c_4(13),c_3(22)
1346,Status 37,c_7(2),c_5(4)
1347,Status 37,c_0(0),c_2(22)
1348,Status 37,c_3(21),c_4(12)
1349,Status 37,c_5(3),c_7(1)
1350,Status 37,c_2(21),c_1(22)
1351,Status 37,c_4(11),c_3(20)
1352,END of 14,c_7(0),c_5(2)
1353,END of 14,ALGID(7),ALGID(6)
1354,END of 14,ALGID(5),ALGID(4)
1355,END of 14,ALGID(3),ALGID(2)
1356,END of 14,Short_Hamm_parity(3),Short_Hamm_parity(2)
1357,END of 14,Short_Hamm_parity(1),Short_Hamm_parity(0)
1358,END of 14,ALGID(1),ALGID(0)
1359,END of 14,KID(15),KID(14)
1360,END of 14,KID(13),KID(12)
1361,END of 14,Short_Hamm_parity(3),Short_Hamm_parity(2)
1362,END of 14,Short_Hamm_parity(1),Short_Hamm_parity(0)
1363,END of 14,KID(11),KID(10)
1364,END of 14,KID(9),KID(8)
1365,END of 14,KID(7),KID(6)
1366,END of 14,Short_Hamm_parity(3),Short_Hamm_parity(2)
1367,Status 38,SS(1),SS(0)
1368,Status 38,Short_Hamm_parity(1),Short_Hamm_parity(0)
1369,Status 38,KID(5),KID(4)
1370,Status 38,KID(3),KID(2)
1371,Status 38,KID(1),KID(0)
1372,Status 38,Short_Hamm_parity(3),Short_Hamm_parity(2)
1373,Status 38,Short_Hamm_parity(1),Short_Hamm_parity(0)
1374,IMBE 15,c_0(22),c_1(21)
1375,IMBE 15,c_2(20),c_3(19)
1376,IMBE 15,c_4(10),c_5(1)
1377,IMBE 15,c_1(20),c_0(21)
1378,IMBE 15,c_3(18),c_2(19)
1379,IMBE 15,c_5(0),c_4(9)
1380,IMBE 15,c_0(20),c_1(19)
1381,IMBE 15,c_2(18),c_3(17)
1382,IMBE 15,c_4(8),c_6(14)
1383,IMBE 15,c_1(18),c_0(19)
1384,IMBE 15,c_3(16),c_2(17)
1385,IMBE 15,c_6(13),c_4(7)
1386,IMBE 15,c_0(18),c_1(17)
1387,IMBE 15,c_2(16),c_3(15)
1388,IMBE 15,c_4(6),c_6(12)
1389,IMBE 15,c_1(16),c_0(17)
1390,IMBE 15,c_3(14),c_2(15)
1391,IMBE 15,c_6(11),c_4(5)
1392,IMBE 15,c_0(16),c_1(15)
1393,IMBE 15,c_2(14),c_3(13)
1394,IMBE 15,c_4(4),c_6(10)
1395,IMBE 15,c_1(14),c_0(15)
1396,IMBE 15,c_3(12),c_2(13)
1397,IMBE 15,c_6(9),c_4(3)
1398,IMBE 15,c_0(14),c_1(13)
1399,IMBE 15,c_2(12),c_3(11)
1400,IMBE 15,c_4(2),c_6(8)
1401,IMBE 15,c_1(12),c_0(13)
1402,IMBE 15,c_3(10),c_2(11)
1403,Status 39,SS(1),SS(0)
1404,Status 39,c_6(7),c_4(1)
1405,Status 39,c_0(12),c_1(11)
1406,Status 39,c_2(10),c_3(9)
1407,Status 39,c_4(0),c_6(6)
1408,Status 39,c_1(10),c_0(11)
1409,Status 39,c_3(8),c_2(9)
1410,Status 39,c_6(5),c_5(14)
1411,Status 39,c_0(10),c_1(9)
1412,Status 39,c_2(8),c_3(7)
1413,Status 39,c_5(13),c_6(4)
1414,Status 39,c_1(8),c_0(9)
1415,Status 39,c_3(6),c_2(7)
1416,Status 39,c_6(3),c_5(12)
1417,Status 39,c_0(8),c_1(7)
1418,Status 39,c_2(6),c_3(5)
1419,Status 39,c_5(11),c_6(2)
1420,Status 39,c_1(6),c_0(7)
1421,Status 39,c_3(4),c_2(5)
1422,Status 39,c_6(1),c_5(10)
1423,Status 39,c_0(6),c_1(5)
1424,Status 39,c_2(4),c_3(3)
1425,Status 39,c_5(9),c_6(0)
1426,Status 39,c_1(4),c_0(5)
1427,Status 39,c_3(2),c_2(3)
1428,Status 39,c_7(6),c_5(8)
1429,Status 39,c_0(4),c_1(3)
1430,Status 39,c_2(2),c_3(1)
1431,Status 39,c_5(7),c_7(5)
1432,Status 39,c_1(2),c_0(3)
1433,Status 39,c_3(0),c_2(1)
1434,Status 39,c_7(4),c_5(6)
1435,Status 39,c_0(2),c_1(1)
1436,Status 39,c_2(0),c_4(14)
1437,Status 39,c_5(5),c_7(3)
1438,Status 39,c_1(0),c_0(1)
1439,Status 40,SS(1),SS(0)
1440,Status 40,c_4(13),c_3(22)
1441,Status 40,c_7(2),c_5(4)
1442,Status 40,c_0(0),c_2(22)
1443,Status 40,c_3(21),c_4(12)
1444,Status 40,c_5(3),c_7(1)
1445,Status 40,c_2(21),c_1(22)
1446,Status 40,c_4(11),c_3(20)
1447,END of 15,c_7(0),c_5(2)
1448,END of 15,RS_parity_7(5),RS_parity_7(4)
1449,END of 15,RS_parity_7(3),RS_parity_7(2)
1450,END of 15,RS_parity_7(1),RS_parity_7(0)
1451,END of 15,Short_Hamm_parity(3),Short_Hamm_parity(2)
1452,END of 15,Short_Hamm_parity(1),Short_Hamm_parity(0)
1453,END of 15,RS_parity_6(5),RS_parity_6(4)
1454,END of 15,RS_parity_6(3),RS_parity_6(2)
1455,END of 15,RS_parity_6(1),RS_parity_6(0)
1456,END of 15,Short_Hamm_parity(3),Short_Hamm_parity(2)
1457,END of 15,Short_Hamm_parity(1),Short_Hamm_parity(0)
1458,END of 15,RS_parity_5(5),RS_parity_5(4)
1459,END of 15,RS_parity_5(3),RS_parity_5(2)
1460,END of 15,RS_parity_5(1),RS_parity_5(0)
1461,END of 15,Short_Hamm_parity(3),Short_Hamm_parity(2)
1462,END of 15,Short_Hamm_parity(1),Short_Hamm_parity(0)
1463,END of 15,RS_parity_4(5),RS_parity_4(4)
1464,END of 15,RS_parity_4(3),RS_parity_4(2)
1465,END of 15,RS_parity_4(1),RS_parity_4(0)
1466,END of 15,Short_Hamm_parity(3),Short_Hamm_parity(2)
1467,END of 15,Short_Hamm_parity(1),Short_Hamm_parity(0)
1468,IMBE 16,c_0(22),c_1(21)
1469,IMBE 16,c_2(20),c_3(19)
1470,IMBE 16,c_4(10),c_5(1)
1471,IMBE 16,c_1(20),c_0(21)
1472,IMBE 16,c_3(18),c_2(19)
1473,IMBE 16,c_5(0),c_4(9)
