# TIA-102.BAAA-B annex_a3_ldu1_transmit_bit_order.csv -- LDU1 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 58-70
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..863 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
565,Status 15,c_0(4),c_1(3)
566,Status 15,c_2(2),c_3(1)
567,Status 15,c_5(7),c_7(5)
568,Status 15,c_1(2),c_0(3)
569,Status 15,c_3(0),c_2(1)
570,Status 15,c_7(4),c_5(6)
571,Status 15,c_0(2),c_1(1)
572,Status 15,c_2(0),c_4(14)
573,Status 15,c_5(5),c_7(3)
574,Status 15,c_1(0),c_0(1)
575,Status 16,SS(1),SS(0)
576,Status 16,c_4(13),c_3(22)
577,Status 16,c_7(2),c_5(4)
578,Status 16,c_0(0),c_2(22)
579,Status 16,c_3(21),c_4(12)
580,Status 16,c_5(3),c_7(1)
581,Status 16,c_2(21),c_1(22)
582,Status 16,c_4(11),c_3(20)
583,END of 6,c_7(0),c_5(2)
584,END of 6,RS_parity_7(5),RS_parity_7(4)
585,END of 6,RS_parity_7(3),RS_parity_7(2)
586,END of 6,RS_parity_7(1),RS_parity_7(0)
587,END of 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
588,END of 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
589,END of 6,RS_parity_6(5),RS_parity_6(4)
590,END of 6,RS_parity_6(3),RS_parity_6(2)
591,END of 6,RS_parity_6(1),RS_parity_6(0)
592,END of 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
593,END of 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
594,END of 6,RS_parity_5(5),RS_parity_5(4)
595,END of 6,RS_parity_5(3),RS_parity_5(2)
596,END of 6,RS_parity_5(1),RS_parity_5(0)
597,END of 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
598,END of 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
599,END of 6,RS_parity_4(5),RS_parity_4(4)
600,END of 6,RS_parity_4(3),RS_parity_4(2)
601,END of 6,RS_parity_4(1),RS_parity_4(0)
602,END of 6,Short_Hamm_parity(3),Short_Hamm_parity(2)
603,END of 6,Short_Hamm_parity(1),Short_Hamm_parity(0)
604,IMBE 7,c_0(22),c_1(21)
605,IMBE 7,c_2(20),c_3(19)
606,IMBE 7,c_4(10),c_5(1)
607,IMBE 7,c_1(20),c_0(21)
608,IMBE 7,c_3(18),c_2(19)
609,IMBE 7,c_5(0),c_4(9)
610,IMBE 7,c_0(20),c_1(19)
611,Status 17,SS(1),SS(0)
612,Status 17,c_2(18),c_3(17)
613,Status 17,c_4(8),c_6(14)
614,Status 17,c_1(18),c_0(19)
615,Status 17,c_3(16),c_2(17)
616,Status 17,c_6(13),c_4(7)
617,Status 17,c_0(18),c_1(17)
618,Status 17,c_2(16),c_3(15)
619,Status 17,c_4(6),c_6(12)
620,Status 17,c_1(16),c_0(17)
621,Status 17,c_3(14),c_2(15)
622,Status 17,c_6(11),c_4(5)
623,Status 17,c_0(16),c_1(15)
624,Status 17,c_2(14),c_3(13)
625,Status 17,c_4(4),c_6(10)
626,Status 17,c_1(14),c_0(15)
627,Status 17,c_3(12),c_2(13)
628,Status 17,c_6(9),c_4(3)
629,Status 17,c_0(14),c_1(13)
630,Status 17,c_2(12),c_3(11)
631,Status 17,c_4(2),c_6(8)
632,Status 17,c_1(12),c_0(13)
633,Status 17,c_3(10),c_2(11)
634,Status 17,c_6(7),c_4(1)
635,Status 17,c_0(12),c_1(11)
636,Status 17,c_2(10),c_3(9)
637,Status 17,c_4(0),c_6(6)
638,Status 17,c_1(10),c_0(11)
639,Status 17,c_3(8),c_2(9)
640,Status 17,c_6(5),c_5(14)
641,Status 17,c_0(10),c_1(9)
642,Status 17,c_2(8),c_3(7)
643,Status 17,c_5(13),c_6(4)
644,Status 17,c_1(8),c_0(9)
645,Status 17,c_3(6),c_2(7)
646,Status 17,c_6(3),c_5(12)
647,Status 18,SS(1),SS(0)
648,Status 18,c_0(8),c_1(7)
649,Status 18,c_2(6),c_3(5)
650,Status 18,c_5(11),c_6(2)
651,Status 18,c_1(6),c_0(7)
652,Status 18,c_3(4),c_2(5)
653,Status 18,c_6(1),c_5(10)
654,Status 18,c_0(6),c_1(5)
655,Status 18,c_2(4),c_3(3)
656,Status 18,c_5(9),c_6(0)
657,Status 18,c_1(4),c_0(5)
658,Status 18,c_3(2),c_2(3)
659,Status 18,c_7(6),c_5(8)
660,Status 18,c_0(4),c_1(3)
661,Status 18,c_2(2),c_3(1)
662,Status 18,c_5(7),c_7(5)
663,Status 18,c_1(2),c_0(3)
664,Status 18,c_3(0),c_2(1)
665,Status 18,c_7(4),c_5(6)
666,Status 18,c_0(2),c_1(1)
667,Status 18,c_2(0),c_4(14)
668,Status 18,c_5(5),c_7(3)
669,Status 18,c_1(0),c_0(1)
670,Status 18,c_4(13),c_3(22)
671,Status 18,c_7(2),c_5(4)
672,Status 18,c_0(0),c_2(22)
673,Status 18,c_3(21),c_4(12)
674,Status 18,c_5(3),c_7(1)
675,Status 18,c_2(21),c_1(22)
676,Status 18,c_4(11),c_3(20)
677,END of 7,c_7(0),c_5(2)
678,END of 7,RS_parity_3(5),RS_parity_3(4)
679,END of 7,RS_parity_3(3),RS_parity_3(2)
680,END of 7,RS_parity_3(1),RS_parity_3(0)
681,END of 7,Short_Hamm_parity(3),Short_Hamm_parity(2)
682,END of 7,Short_Hamm_parity(1),Short_Hamm_parity(0)
683,Status 19,SS(1),SS(0)
684,Status 19,RS_parity_2(5),RS_parity_2(4)
685,Status 19,RS_parity_2(3),RS_parity_2(2)
686,Status 19,RS_parity_2(1),RS_parity_2(0)
687,Status 19,Short_Hamm_parity(3),Short_Hamm_parity(2)
688,Status 19,Short_Hamm_parity(1),Short_Hamm_parity(0)
689,Status 19,RS_parity_1(5),RS_parity_1(4)
690,Status 19,RS_parity_1(3),RS_parity_1(2)
691,Status 19,RS_parity_1(1),RS_parity_1(0)
692,Status 19,Short_Hamm_parity(3),Short_Hamm_parity(2)
693,Status 19,Short_Hamm_parity(1),Short_Hamm_parity(0)
694,Status 19,RS_parity_0(5),RS_parity_0(4)
695,Status 19,RS_parity_0(3),RS_parity_0(2)
696,Status 19,RS_parity_0(1),RS_parity_0(0)
697,Status 19,Short_Hamm_parity(3),Short_Hamm_parity(2)
698,Status 19,Short_Hamm_parity(1),Short_Hamm_parity(0)
699,IMBE 8,c_0(22),c_1(21)
700,IMBE 8,c_2(20),c_3(19)
701,IMBE 8,c_4(10),c_5(1)
702,IMBE 8,c_1(20),c_0(21)
703,IMBE 8,c_3(18),c_2(19)
704,IMBE 8,c_5(0),c_4(9)
705,IMBE 8,c_0(20),c_1(19)
706,IMBE 8,c_2(18),c_3(17)
707,IMBE 8,c_4(8),c_6(14)
708,IMBE 8,c_1(18),c_0(19)
709,IMBE 8,c_3(16),c_2(17)
710,IMBE 8,c_6(13),c_4(7)
711,IMBE 8,c_0(18),c_1(17)
712,IMBE 8,c_2(16),c_3(15)
713,IMBE 8,c_4(6),c_6(12)
714,IMBE 8,c_1(16),c_0(17)
715,IMBE 8,c_3(14),c_2(15)
716,IMBE 8,c_6(11),c_4(5)
717,IMBE 8,c_0(16),c_1(15)
718,IMBE 8,c_2(14),c_3(13)
719,Status 20,SS(1),SS(0)
720,Status 20,c_4(4),c_6(10)
721,Status 20,c_1(14),c_0(15)
722,Status 20,c_3(12),c_2(13)
723,Status 20,c_6(9),c_4(3)
724,Status 20,c_0(14),c_1(13)
725,Status 20,c_2(12),c_3(11)
726,Status 20,c_4(2),c_6(8)
727,Status 20,c_1(12),c_0(13)
728,Status 20,c_3(10),c_2(11)
729,Status 20,c_6(7),c_4(1)
730,Status 20,c_0(12),c_1(11)
731,Status 20,c_2(10),c_3(9)
732,Status 20,c_4(0),c_6(6)
733,Status 20,c_1(10),c_0(11)
734,Status 20,c_3(8),c_2(9)
735,Status 20,c_6(5),c_5(14)
736,Status 20,c_0(10),c_1(9)
737,Status 20,c_2(8),c_3(7)
738,Status 20,c_5(13),c_6(4)
739,Status 20,c_1(8),c_0(9)
740,Status 20,c_3(6),c_2(7)
741,Status 20,c_6(3),c_5(12)
742,Status 20,c_0(8),c_1(7)
743,Status 20,c_2(6),c_3(5)
744,Status 20,c_5(11),c_6(2)
745,Status 20,c_1(6),c_0(7)
746,Status 20,c_3(4),c_2(5)
747,Status 20,c_6(1),c_5(10)
748,Status 20,c_0(6),c_1(5)
749,Status 20,c_2(4),c_3(3)
750,Status 20,c_5(9),c_6(0)
751,Status 20,c_1(4),c_0(5)
752,Status 20,c_3(2),c_2(3)
753,Status 20,c_7(6),c_5(8)
754,Status 20,c_0(4),c_1(3)
755,Status 21,SS(1),SS(0)
756,Status 21,c_2(2),c_3(1)
757,Status 21,c_5(7),c_7(5)
758,Status 21,c_1(2),c_0(3)
759,Status 21,c_3(0),c_2(1)
760,Status 21,c_7(4),c_5(6)
761,Status 21,c_0(2),c_1(1)
762,Status 21,c_2(0),c_4(14)
763,Status 21,c_5(5),c_7(3)
764,Status 21,c_1(0),c_0(1)
765,Status 21,c_4(13),c_3(22)
766,Status 21,c_7(2),c_5(4)
767,Status 21,c_0(0),c_2(22)
768,Status 21,c_3(21),c_4(12)
769,Status 21,c_5(3),c_7(1)
770,Status 21,c_2(21),c_1(22)
771,Status 21,c_4(11),c_3(20)
772,END of 8,c_7(0),c_5(2)
773,END of 8,LSD_info_1(7),LSD_info_1(6)
774,END of 8,LSD_info_1(5),LSD_info_1(4)
775,END of 8,LSD_info_1(3),LSD_info_1(2)
776,END of 8,LSD_info_1(1),LSD_info_1(0)
777,END of 8,cyclic_parity(7),cyclic_parity(6)
778,END of 8,cyclic_parity(5),cyclic_parity(4)
779,END of 8,cyclic_parity(3),cyclic_parity(2)
780,END of 8,cyclic_parity(1),cyclic_parity(0)
781,END of 8,LSD_info_2(7),LSD_info_2(6)
782,END of 8,LSD_info_2(5),LSD_info_2(4)
783,END of 8,LSD_info_2(3),LSD_info_2(2)
784,END of 8,LSD_info_2(1),LSD_info_2(0)
785,END of 8,cyclic_parity(7),cyclic_parity(6)
786,END of 8,cyclic_parity(5),cyclic_parity(4)
787,END of 8,cyclic_parity(3),cyclic_parity(2)
788,END of 8,cyclic_parity(1),cyclic_parity(0)
789,IMBE 9,c_0(22),c_1(21)
790,IMBE 9,c_2(20),c_3(19)
791,Status 22,SS(1),SS(0)
792,Status 22,c_4(10),c_5(1)
793,Status 22,c_1(20),c_0(21)
794,Status 22,c_3(18),c_2(19)
795,Status 22,c_5(0),c_4(9)
796,Status 22,c_0(20),c_1(19)
797,Status 22,c_2(18),c_3(17)
798,Status 22,c_4(8),c_6(14)
799,Status 22,c_1(18),c_0(19)
800,Status 22,c_3(16),c_2(17)
801,Status 22,c_6(13),c_4(7)
802,Status 22,c_0(18),c_1(17)
803,Status 22,c_2(16),c_3(15)
804,Status 22,c_4(6),c_6(12)
805,Status 22,c_1(16),c_0(17)
806,Status 22,c_3(14),c_2(15)
807,Status 22,c_6(11),c_4(5)
808,Status 22,c_0(16),c_1(15)
809,Status 22,c_2(14),c_3(13)
810,Status 22,c_4(4),c_6(10)
811,Status 22,c_1(14),c_0(15)
812,Status 22,c_3(12),c_2(13)
813,Status 22,c_6(9),c_4(3)
814,Status 22,c_0(14),c_1(13)
815,Status 22,c_2(12),c_3(11)
816,Status 22,c_4(2),c_6(8)
817,Status 22,c_1(12),c_0(13)
818,Status 22,c_3(10),c_2(11)
819,Status 22,c_6(7),c_4(1)
820,Status 22,c_0(12),c_1(11)
821,Status 22,c_2(10),c_3(9)
822,Status 22,c_4(0),c_6(6)
823,Status 22,c_1(10),c_0(11)
824,Status 22,c_3(8),c_2(9)
825,Status 22,c_6(5),c_5(14)
826,Status 22,c_0(10),c_1(9)
827,Status 23,SS(1),SS(0)
828,Status 23,c_2(8),c_3(7)
829,Status 23,c_5(13),c_6(4)
830,Status 23,c_1(8),c_0(9)
831,Status 23,c_3(6),c_2(7)
832,Status 23,c_6(3),c_5(12)
833,Status 23,c_0(8),c_1(7)
834,Status 23,c_2(6),c_3(5)
835,Status 23,c_5(11),c_6(2)
836,Status 23,c_1(6),c_0(7)
837,Status 23,c_3(4),c_2(5)
838,Status 23,c_6(1),c_5(10)
839,Status 23,c_0(6),c_1(5)
840,Status 23,c_2(4),c_3(3)
841,Status 23,c_5(9),c_6(0)
842,Status 23,c_1(4),c_0(5)
843,Status 23,c_3(2),c_2(3)
844,Status 23,c_7(6),c_5(8)
845,Status 23,c_0(4),c_1(3)
846,Status 23,c_2(2),c_3(1)
847,Status 23,c_5(7),c_7(5)
848,Status 23,c_1(2),c_0(3)
849,Status 23,c_3(0),c_2(1)
850,Status 23,c_7(4),c_5(6)
851,Status 23,c_0(2),c_1(1)
852,Status 23,c_2(0),c_4(14)
853,Status 23,c_5(5),c_7(3)
854,Status 23,c_1(0),c_0(1)
855,Status 23,c_4(13),c_3(22)
856,Status 23,c_7(2),c_5(4)
857,Status 23,c_0(0),c_2(22)
858,Status 23,c_3(21),c_4(12)
859,Status 23,c_5(3),c_7(1)
860,Status 23,c_2(21),c_1(22)
861,Status 23,c_4(11),c_3(20)
862,END of 9,c_7(0),c_5(2)
863,Status 24,SS(1),SS(0)
