# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
126,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
127,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
128,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
129,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
130,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
131,Status 3,MI(23),MI(22)
132,Status 3,MI(21),MI(20)
133,Status 3,MI(19),MI(18)
134,Status 3,Short_Golay_parity(11),Short_Golay_parity(10)
135,Status 3,Short_Golay_parity(9),Short_Golay_parity(8)
136,Status 3,Short_Golay_parity(7),Short_Golay_parity(6)
137,Status 3,Short_Golay_parity(5),Short_Golay_parity(4)
138,Status 3,Short_Golay_parity(3),Short_Golay_parity(2)
139,Status 3,Short_Golay_parity(1),Short_Golay_parity(0)
140,Status 3,MI(17),MI(16)
141,Status 3,MI(15),MI(14)
142,Status 3,MI(13),MI(12)
143,Status 4,SS(1),SS(0)
144,Status 4,Short_Golay_parity(11),Short_Golay_parity(10)
145,Status 4,Short_Golay_parity(9),Short_Golay_parity(8)
146,Status 4,Short_Golay_parity(7),Short_Golay_parity(6)
147,Status 4,Short_Golay_parity(5),Short_Golay_parity(4)
148,Status 4,Short_Golay_parity(3),Short_Golay_parity(2)
149,Status 4,Short_Golay_parity(1),Short_Golay_parity(0)
150,Status 4,MI(11),MI(10)
151,Status 4,MI(9),MI(8)
152,Status 4,MI(7),MI(6)
153,Status 4,Short_Golay_parity(11),Short_Golay_parity(10)
154,Status 4,Short_Golay_parity(9),Short_Golay_parity(8)
155,Status 4,Short_Golay_parity(7),Short_Golay_parity(6)
156,Status 4,Short_Golay_parity(5),Short_Golay_parity(4)
157,Status 4,Short_Golay_parity(3),Short_Golay_parity(2)
158,Status 4,Short_Golay_parity(1),Short_Golay_parity(0)
159,Status 4,MI(5),MI(4)
160,Status 4,MI(3),MI(2)
161,Status 4,MI(1),MI(0)
162,Status 4,Short_Golay_parity(11),Short_Golay_parity(10)
163,Status 4,Short_Golay_parity(9),Short_Golay_parity(8)
164,Status 4,Short_Golay_parity(7),Short_Golay_parity(6)
165,Status 4,Short_Golay_parity(5),Short_Golay_parity(4)
166,Status 4,Short_Golay_parity(3),Short_Golay_parity(2)
167,Status 4,Short_Golay_parity(1),Short_Golay_parity(0)
168,Status 4,MFID(7),MFID(6)
169,Status 4,MFID(5),MFID(4)
170,Status 4,MFID(3),MFID(2)
171,Status 4,Short_Golay_parity(11),Short_Golay_parity(10)
172,Status 4,Short_Golay_parity(9),Short_Golay_parity(8)
173,Status 4,Short_Golay_parity(7),Short_Golay_parity(6)
174,Status 4,Short_Golay_parity(5),Short_Golay_parity(4)
175,Status 4,Short_Golay_parity(3),Short_Golay_parity(2)
176,Status 4,Short_Golay_parity(1),Short_Golay_parity(0)
177,Status 4,MFID(1),MFID(0)
178,Status 4,ALGID(7),ALGID(6)
179,Status 5,SS(1),SS(0)
180,Status 5,ALGID(5),ALGID(4)
181,Status 5,Short_Golay_parity(11),Short_Golay_parity(10)
182,Status 5,Short_Golay_parity(9),Short_Golay_parity(8)
183,Status 5,Short_Golay_parity(7),Short_Golay_parity(6)
184,Status 5,Short_Golay_parity(5),Short_Golay_parity(4)
185,Status 5,Short_Golay_parity(3),Short_Golay_parity(2)
186,Status 5,Short_Golay_parity(1),Short_Golay_parity(0)
187,Status 5,ALGID(3),ALGID(2)
188,Status 5,ALGID(1),ALGID(0)
189,Status 5,KID(15),KID(14)
190,Status 5,Short_Golay_parity(11),Short_Golay_parity(10)
191,Status 5,Short_Golay_parity(9),Short_Golay_parity(8)
192,Status 5,Short_Golay_parity(7),Short_Golay_parity(6)
193,Status 5,Short_Golay_parity(5),Short_Golay_parity(4)
194,Status 5,Short_Golay_parity(3),Short_Golay_parity(2)
195,Status 5,Short_Golay_parity(1),Short_Golay_parity(0)
196,Status 5,KID(13),KID(12)
197,Status 5,KID(11),KID(10)
198,Status 5,KID(9),KID(8)
199,Status 5,Short_Golay_parity(11),Short_Golay_parity(10)
200,Status 5,Short_Golay_parity(9),Short_Golay_parity(8)
201,Status 5,Short_Golay_parity(7),Short_Golay_parity(6)
202,Status 5,Short_Golay_parity(5),Short_Golay_parity(4)
203,Status 5,Short_Golay_parity(3),Short_Golay_parity(2)
204,Status 5,Short_Golay_parity(1),Short_Golay_parity(0)
205,Status 5,KID(7),KID(6)
206,Status 5,KID(5),KID(4)
207,Status 5,KID(3),KID(2)
208,Status 5,Short_Golay_parity(11),Short_Golay_parity(10)
209,Status 5,Short_Golay_parity(9),Short_Golay_parity(8)
210,Status 5,Short_Golay_parity(7),Short_Golay_parity(6)
211,Status 5,Short_Golay_parity(5),Short_Golay_parity(4)
212,Status 5,Short_Golay_parity(3),Short_Golay_parity(2)
213,Status 5,Short_Golay_parity(1),Short_Golay_parity(0)
214,Status 5,KID(1),KID(0)
215,Status 6,SS(1),SS(0)
216,Status 6,TGID(15),TGID(14)
217,Status 6,TGID(13),TGID(12)
218,Status 6,Short_Golay_parity(11),Short_Golay_parity(10)
219,Status 6,Short_Golay_parity(9),Short_Golay_parity(8)
220,Status 6,Short_Golay_parity(7),Short_Golay_parity(6)
221,Status 6,Short_Golay_parity(5),Short_Golay_parity(4)
222,Status 6,Short_Golay_parity(3),Short_Golay_parity(2)
223,Status 6,Short_Golay_parity(1),Short_Golay_parity(0)
224,Status 6,TGID(11),TGID(10)
225,Status 6,TGID(9),TGID(8)
